X_12,Y_12,C_12,X_13,Y_13,C_13,X_14,Y_14,C_14
1110.1,389.032,0.158907,1539.88,542.061,0.455017,1554.5,886.424,0.0530744
1101.27,388.987,0.162037,1539.88,536.193,0.469282,1583.95,977.68,0.346965
1101.27,388.987,0.162037,1539.88,536.193,0.469282,1583.95,977.68,0.346965
1101.27,388.987,0.162037,1539.88,536.193,0.469282,1583.95,977.68,0.346965
1101.27,386.107,0.180856,1539.89,542.074,0.490268,1583.88,974.7,0.191459
1101.27,386.107,0.180856,1539.89,542.074,0.490268,1583.88,974.7,0.191459
1101.27,386.107,0.180856,1539.89,542.074,0.490268,1583.88,974.7,0.191459
1107.17,389.009,0.165677,1539.76,539.111,0.462376,1586.87,965.902,0.113112
1107.17,389.009,0.165677,1539.76,539.111,0.462376,1586.87,965.902,0.113112
1113.05,394.867,0.138158,1539.9,545.01,0.506922,1589.75,977.696,0.130036
1113.05,394.867,0.138158,1539.9,545.01,0.506922,1589.75,977.696,0.130036
1139.54,397.849,0.152124,1536.81,536.207,0.473805,1828.25,904.156,0.393382
1139.54,397.849,0.152124,1536.81,536.207,0.473805,1828.25,904.156,0.393382
1133.64,397.811,0.153952,1536.86,533.318,0.457417,1845.88,880.514,0.320617
1133.64,397.811,0.153952,1536.86,533.318,0.457417,1845.88,880.514,0.320617
1130.72,397.831,0.141839,1542.83,539.077,0.502424,1875.38,859.972,0.340456
1130.72,397.831,0.141839,1542.83,539.077,0.502424,1875.38,859.972,0.340456
1121.89,394.921,0.134169,1542.76,530.36,0.524018,1872.47,830.516,0.283423
1127.76,394.87,0.143849,1545.73,530.175,0.582927,1898.93,812.952,0.20444
1127.76,394.87,0.143849,1545.73,530.175,0.582927,1898.93,812.952,0.20444
1104.23,389.026,0.191217,1539.71,509.727,0.500286,1613.37,592.124,0.0670284
1113.04,389.012,0.2027,1539.74,506.834,0.675157,1707.63,665.652,0.0762586
1115.99,391.973,0.185299,1536.92,506.691,0.58681,1616.35,580.324,0.0526557
1121.88,394.877,0.172713,1531.02,497.928,0.513959,1704.64,627.401,0.0757524
1124.8,391.94,0.182982,1533.88,486.168,0.656833,1684.1,612.658,0.138996
1118.95,389.009,0.200548,1536.78,486.101,0.704594,1681.12,603.858,0.184336
1118.92,388.99,0.185474,1530.97,483.235,0.705488,1687,598.012,0.161662
1116,392.003,0.186911,1528.01,483.089,0.666665,1681.14,592.127,0.184305
1118.94,397.859,0.18361,1530.99,483.102,0.636788,1692.89,592.064,0.114436
1104.24,400.773,0.179573,1530.99,480.211,0.668036,1684.07,595.064,0.204663
1110.11,394.884,0.189188,1530.98,477.362,0.664366,1678.17,580.359,0.273063
1115.98,394.868,0.179703,1522.15,477.233,0.656902,1678.19,577.379,0.254602
1118.9,391.965,0.216167,1522.23,471.381,0.686442,1678.11,571.44,0.329735
1113.06,394.931,0.172911,1525.12,465.583,0.694849,1681.06,568.574,0.323923
1118.95,394.896,0.17863,1528.03,462.695,0.683811,1678.18,568.568,0.344108
1116,400.774,0.153637,1528.08,462.611,0.678268,1681.06,565.635,0.321183
1113.04,397.86,0.160834,1528.05,462.699,0.586958,1675.23,559.694,0.276514
1101.26,394.909,0.197166,1348.52,447.848,0.221441,1639.87,527.362,0.272241
1110.1,392.004,0.185941,1357.33,450.799,0.175432,1628.12,524.396,0.246941
1092.46,400.746,0.19134,1345.57,442.021,0.193504,1634.01,527.335,0.280637
1095.4,400.782,0.183911,1422.08,450.81,0.170233,1628.11,530.256,0.362532
1101.28,397.846,0.193821,1422.09,453.72,0.249812,1636.9,527.397,0.354949
1107.15,397.857,0.191547,1419.14,453.759,0.223513,1634.02,527.372,0.320082
1104.2,394.908,0.184133,1419.15,453.729,0.200188,1631.07,527.356,0.290018
